INFO: [SIM 2] *************** CSIM start ***************
INFO: [SIM 4] CSIM will launch GCC as the compiler.
   Compiling ../../../../tools.cpp in debug mode
   Generating csim.exe
[r][c][m]: 1 6 2	out : -7.568486691e+000		ref : -7.568586826e+000
[r][c][m]: 8 29 123	out : -1.170792694e+002		ref : -1.170794067e+002
[r][c][m]: 8 30 123	out : 6.167248249e+000		ref : 6.167112350e+000
[r][c][m]: 9 6 123	out : 1.284696198e+002		ref : 1.284695129e+002
[r][c][m]: 9 10 123	out : 1.788325043e+002		ref : 1.788326874e+002
[r][c][m]: 9 11 123	out : 2.075114136e+002		ref : 2.075115967e+002
[r][c][m]: 9 17 123	out : -2.209058990e+002		ref : -2.209057922e+002
[r][c][m]: 9 30 123	out : 2.112053833e+002		ref : 2.112052765e+002
[r][c][m]: 10 1 123	out : -1.283948822e+002		ref : -1.283947296e+002
[r][c][m]: 10 14 123	out : 2.811797180e+002		ref : 2.811793518e+002
[r][c][m]: 10 15 123	out : -4.170745087e+001		ref : -4.170733261e+001
[r][c][m]: 10 27 123	out : 8.653628540e+001		ref : 8.653598785e+001
[r][c][m]: 11 5 123	out : 1.180773544e+002		ref : 1.180772171e+002
[r][c][m]: 11 8 123	out : -2.228092499e+002		ref : -2.228090057e+002
[r][c][m]: 11 10 123	out : -4.344112244e+002		ref : -4.344114075e+002
[r][c][m]: 11 11 123	out : 1.104707108e+002		ref : 1.104705887e+002
[r][c][m]: 11 15 123	out : -3.092166748e+002		ref : -3.092163696e+002
[r][c][m]: 11 17 123	out : 2.259313354e+002		ref : 2.259315338e+002
[r][c][m]: 11 20 123	out : -1.321278229e+002		ref : -1.321280060e+002
[r][c][m]: 11 22 123	out : -4.847104263e+001		ref : -4.847090530e+001
[r][c][m]: 12 12 123	out : -2.783747253e+002		ref : -2.783745422e+002
[r][c][m]: 12 17 123	out : 6.311304474e+001		ref : 6.311289215e+001
[r][c][m]: 12 19 123	out : -1.832095490e+002		ref : -1.832096710e+002
[r][c][m]: 12 21 123	out : 4.201624146e+002		ref : 4.201627502e+002
[r][c][m]: 12 22 123	out : 2.770388794e+002		ref : 2.770387268e+002
[r][c][m]: 12 23 123	out : -1.201168213e+002		ref : -1.201171341e+002
[r][c][m]: 12 24 123	out : 2.747378235e+002		ref : 2.747379761e+002
[r][c][m]: 13 0 123	out : -1.620658417e+002		ref : -1.620660706e+002
[r][c][m]: 13 4 123	out : -2.178583679e+002		ref : -2.178581238e+002
[r][c][m]: 13 15 123	out : 5.520286942e+001		ref : 5.520273590e+001
[r][c][m]: 13 19 123	out : -4.074212646e+001		ref : -4.074195099e+001
[r][c][m]: 13 20 123	out : 3.261517715e+001		ref : 3.261531830e+001
[r][c][m]: 13 22 123	out : -6.435060883e+001		ref : -6.435049438e+001
[r][c][m]: 13 23 123	out : -2.671946106e+002		ref : -2.671947327e+002
[r][c][m]: 13 25 123	out : -1.163284378e+002		ref : -1.163283234e+002
[r][c][m]: 14 2 123	out : 3.022929573e+001		ref : 3.022915077e+001
[r][c][m]: 14 11 123	out : 3.529057312e+002		ref : 3.529058838e+002
[r][c][m]: 14 22 123	out : 1.766097870e+002		ref : 1.766095886e+002
[r][c][m]: 14 25 123	out : -2.780781860e+002		ref : -2.780780029e+002
[r][c][m]: 15 1 123	out : -1.512372284e+002		ref : -1.512373505e+002
[r][c][m]: 15 7 123	out : -1.675911255e+002		ref : -1.675909424e+002
[r][c][m]: 15 8 123	out : 1.250528412e+002		ref : 1.250527039e+002
[r][c][m]: 15 10 123	out : -6.613092041e+001		ref : -6.613104248e+001
[r][c][m]: 15 14 123	out : 1.594001617e+002		ref : 1.593999939e+002
[r][c][m]: 15 16 123	out : 2.485002441e+002		ref : 2.485000153e+002
[r][c][m]: 15 19 123	out : 1.584344177e+002		ref : 1.584346008e+002
[r][c][m]: 15 21 123	out : -3.813431549e+001		ref : -3.813441849e+001
[r][c][m]: 15 28 123	out : 6.129497147e+001		ref : 6.129509735e+001
[r][c][m]: 16 2 123	out : -1.448332214e+002		ref : -1.448331146e+002
[r][c][m]: 16 4 123	out : -1.996032715e+002		ref : -1.996035156e+002
[r][c][m]: 16 7 123	out : -2.843947449e+002		ref : -2.843945312e+002
[r][c][m]: 16 9 123	out : -2.232352905e+002		ref : -2.232350769e+002
[r][c][m]: 16 22 123	out : 9.313414764e+001		ref : 9.313430023e+001
[r][c][m]: 16 23 123	out : 2.946066895e+002		ref : 2.946071472e+002
[r][c][m]: 16 24 123	out : -1.421329498e+002		ref : -1.421328430e+002
[r][c][m]: 17 1 123	out : -2.398689079e+001		ref : -2.398676682e+001
[r][c][m]: 17 9 123	out : 6.278947830e+001		ref : 6.278929138e+001
[r][c][m]: 17 17 123	out : 1.524971771e+002		ref : 1.524972992e+002
[r][c][m]: 17 19 123	out : 3.001276245e+002		ref : 3.001274719e+002
[r][c][m]: 17 30 123	out : 1.579108734e+002		ref : 1.579110413e+002
[r][c][m]: 18 1 123	out : 3.289783020e+002		ref : 3.289781494e+002
[r][c][m]: 18 4 123	out : 4.753493118e+001		ref : 4.753475952e+001
[r][c][m]: 18 9 123	out : -1.898317108e+002		ref : -1.898318329e+002
[r][c][m]: 18 12 123	out : -1.770112610e+002		ref : -1.770113678e+002
[r][c][m]: 18 14 123	out : 2.925813599e+002		ref : 2.925811768e+002
[r][c][m]: 18 17 123	out : 1.256650467e+002		ref : 1.256649399e+002
[r][c][m]: 18 22 123	out : -1.858787689e+002		ref : -1.858788757e+002
[r][c][m]: 19 8 123	out : -2.621843872e+002		ref : -2.621845093e+002
[r][c][m]: 19 12 123	out : 1.102582779e+002		ref : 1.102579117e+002
[r][c][m]: 19 13 123	out : -3.313564148e+002		ref : -3.313565979e+002
[r][c][m]: 19 15 123	out : 1.812558441e+002		ref : 1.812560425e+002
[r][c][m]: 19 18 123	out : 3.114367676e+002		ref : 3.114369202e+002
[r][c][m]: 19 24 123	out : -1.942591858e+002		ref : -1.942590027e+002
[r][c][m]: 19 29 123	out : -3.249222183e+001		ref : -3.249232483e+001
[r][c][m]: 20 0 123	out : -1.406220093e+002		ref : -1.406218414e+002
[r][c][m]: 20 1 123	out : -1.478724365e+002		ref : -1.478723297e+002
[r][c][m]: 20 2 123	out : 3.152919579e+001		ref : 3.152908134e+001
[r][c][m]: 20 4 123	out : 8.632199860e+001		ref : 8.632184601e+001
[r][c][m]: 20 7 123	out : 1.226684875e+002		ref : 1.226683731e+002
[r][c][m]: 20 10 123	out : -3.216270142e+002		ref : -3.216271362e+002
[r][c][m]: 20 11 123	out : 2.102869873e+002		ref : 2.102868500e+002
[r][c][m]: 20 15 123	out : 7.537176514e+001		ref : 7.537191010e+001
[r][c][m]: 20 16 123	out : 6.666867256e+000		ref : 6.666969299e+000
[r][c][m]: 20 17 123	out : -1.835752106e+002		ref : -1.835750580e+002
[r][c][m]: 20 24 123	out : -1.150132523e+002		ref : -1.150131378e+002
[r][c][m]: 20 31 123	out : -2.111717072e+002		ref : -2.111718597e+002
[r][c][m]: 21 0 123	out : 2.050632782e+002		ref : 2.050633850e+002
[r][c][m]: 21 3 123	out : -8.531229401e+001		ref : -8.531217194e+001
[r][c][m]: 21 13 123	out : -1.604963837e+002		ref : -1.604962769e+002
[r][c][m]: 21 29 123	out : 1.765011139e+002		ref : 1.765012360e+002
[r][c][m]: 22 3 123	out : 5.165648937e+000		ref : 5.165818214e+000
[r][c][m]: 22 8 123	out : 2.299987335e+002		ref : 2.299985352e+002
[r][c][m]: 22 9 123	out : 1.284176636e+002		ref : 1.284177704e+002
[r][c][m]: 22 11 123	out : -2.615223083e+002		ref : -2.615221558e+002
[r][c][m]: 22 16 123	out : 9.570571899e+001		ref : 9.570590973e+001
[r][c][m]: 22 18 123	out : -1.987063904e+002		ref : -1.987064972e+002
[r][c][m]: 22 22 123	out : -3.440568161e+001		ref : -3.440555954e+001
[r][c][m]: 22 29 123	out : -1.423336792e+002		ref : -1.423335571e+002
[r][c][m]: 23 0 123	out : 1.286929626e+002		ref : 1.286930847e+002
[r][c][m]: 23 1 123	out : 1.808135071e+002		ref : 1.808136749e+002
[r][c][m]: 23 3 123	out : 1.015274124e+002		ref : 1.015275345e+002
[r][c][m]: 23 4 123	out : 1.272176666e+002		ref : 1.272178192e+002
[r][c][m]: 23 14 123	out : -2.037823029e+002		ref : -2.037824554e+002
[r][c][m]: 23 15 123	out : -2.932888184e+002		ref : -2.932892151e+002
[r][c][m]: 23 20 123	out : -2.204516144e+002		ref : -2.204517212e+002
[r][c][m]: 23 28 123	out : 1.547133179e+002		ref : 1.547134705e+002
[r][c][m]: 24 4 123	out : 2.150229034e+002		ref : 2.150230560e+002
[r][c][m]: 24 8 123	out : 2.097682800e+002		ref : 2.097680664e+002
[r][c][m]: 24 13 123	out : -7.591022491e+001		ref : -7.591036987e+001
[r][c][m]: 24 14 123	out : -2.994281006e+002		ref : -2.994279785e+002
[r][c][m]: 24 16 123	out : 1.319879608e+002		ref : 1.319880981e+002
[r][c][m]: 24 22 123	out : -6.961405945e+001		ref : -6.961394501e+001
[r][c][m]: 24 24 123	out : -3.382273254e+002		ref : -3.382276001e+002
[r][c][m]: 24 26 123	out : -1.366950684e+002		ref : -1.366952820e+002
[r][c][m]: 24 29 123	out : 2.412271881e+002		ref : 2.412269897e+002
[r][c][m]: 25 1 123	out : -3.688893127e+002		ref : -3.688894348e+002
[r][c][m]: 25 14 123	out : -1.634548950e+002		ref : -1.634547272e+002
[r][c][m]: 25 15 123	out : 1.509878235e+002		ref : 1.509880066e+002
[r][c][m]: 25 26 123	out : -2.213530426e+002		ref : -2.213531799e+002
[r][c][m]: 25 29 123	out : -1.416528625e+002		ref : -1.416529694e+002
[r][c][m]: 26 6 123	out : 1.985231171e+002		ref : 1.985228119e+002
[r][c][m]: 26 14 123	out : -4.462514648e+002		ref : -4.462513123e+002
[r][c][m]: 26 20 123	out : -1.567807465e+002		ref : -1.567808685e+002
[r][c][m]: 27 7 123	out : 2.909860535e+002		ref : 2.909859009e+002
[r][c][m]: 27 9 123	out : -1.204125290e+002		ref : -1.204124146e+002
[r][c][m]: 27 10 123	out : -4.389734650e+001		ref : -4.389746094e+001
[r][c][m]: 27 23 123	out : 1.984219971e+002		ref : 1.984222565e+002
[r][c][m]: 28 3 123	out : -3.140322266e+002		ref : -3.140320740e+002
[r][c][m]: 28 8 123	out : -1.354389801e+002		ref : -1.354388580e+002
[r][c][m]: 28 25 123	out : -1.631171417e+002		ref : -1.631172485e+002
[r][c][m]: 28 30 123	out : -7.307073116e+000		ref : -7.307197094e+000
[r][c][m]: 29 4 123	out : -4.019935989e+001		ref : -4.019954300e+001
[r][c][m]: 29 5 123	out : -1.641057892e+002		ref : -1.641056824e+002
[r][c][m]: 29 6 123	out : -2.561518555e+002		ref : -2.561517334e+002
[r][c][m]: 29 11 123	out : 9.361461639e+001		ref : 9.361478424e+001
[r][c][m]: 29 18 123	out : -1.036248398e+002		ref : -1.036246338e+002
[r][c][m]: 29 22 123	out : -2.466320801e+002		ref : -2.466319427e+002
[r][c][m]: 29 24 123	out : -3.138384628e+001		ref : -3.138370514e+001
[r][c][m]: 29 29 123	out : -3.712505341e+001		ref : -3.712492752e+001
[r][c][m]: 30 5 123	out : -1.819698181e+002		ref : -1.819697113e+002
[r][c][m]: 30 7 123	out : -3.130766602e+002		ref : -3.130768127e+002
[r][c][m]: 30 9 123	out : -1.163211594e+002		ref : -1.163212738e+002
[r][c][m]: 30 13 123	out : -2.873687134e+002		ref : -2.873684998e+002
[r][c][m]: 30 14 123	out : -1.409496918e+002		ref : -1.409495850e+002
[r][c][m]: 30 15 123	out : 1.309618073e+002		ref : 1.309619141e+002
[r][c][m]: 30 22 123	out : -2.419841194e+001		ref : -2.419822121e+001
[r][c][m]: 30 24 123	out : -3.244240417e+002		ref : -3.244243469e+002
[r][c][m]: 30 27 123	out : 1.553138733e+002		ref : 1.553140411e+002
[r][c][m]: 30 28 123	out : -1.966046753e+002		ref : -1.966048279e+002
[r][c][m]: 30 30 123	out : -9.479987335e+001		ref : -9.479973602e+001
[r][c][m]: 31 3 123	out : 1.236378021e+002		ref : 1.236376343e+002
[r][c][m]: 31 4 123	out : 3.280482483e+002		ref : 3.280485840e+002
INFO [HLS SIM]: The maximum depth reached by any hls::stream() instance in the design is 589824
INFO: [SIM 1] CSim done with 0 errors.
INFO: [SIM 3] *************** CSIM finish ***************
